risk_group,model_group,model,feature,feature_group,feature_label,importance_type,importance,absolute_importance
High,High + Very High,gradient_boosted_trees,median_dom_yoy,Housing market,Median Dom Yoy,subgroup_permutation_mae,0.0007655682897126754,0.0007655682897126754
High,High + Very High,gradient_boosted_trees,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,subgroup_permutation_mae,0.0007462755963258512,0.0007462755963258512
High,High + Very High,gradient_boosted_trees,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,subgroup_permutation_mae,0.000737330012531732,0.000737330012531732
High,High + Very High,gradient_boosted_trees,precipitation_inches,Climate and hazard,Precipitation,subgroup_permutation_mae,0.0006486600540113124,0.0006486600540113124
High,High + Very High,gradient_boosted_trees,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,subgroup_permutation_mae,0.0006293078649859164,0.0006293078649859164
High,High + Very High,gradient_boosted_trees,total_population,Demographic,Total Population,subgroup_permutation_mae,0.0005362298466168134,0.0005362298466168134
High,High + Very High,gradient_boosted_trees,communication_barrier_pct,Demographic,Communication Barrier,subgroup_permutation_mae,0.00042474420602165553,0.00042474420602165553
High,High + Very High,gradient_boosted_trees,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,subgroup_permutation_mae,0.0004058961465177663,0.0004058961465177663
High,High + Very High,gradient_boosted_trees,unemployment_rate_pct,Economic and affordability,Unemployment,subgroup_permutation_mae,0.0003810362792818156,0.0003810362792818156
High,High + Very High,gradient_boosted_trees,no_broadband_pct,Demographic,No Internet Access,subgroup_permutation_mae,0.00029257700725155626,0.00029257700725155626
High,High + Very High,gradient_boosted_trees,extreme_event_count,Climate and hazard,Combined Extreme Event Count,subgroup_permutation_mae,0.0002259832178938455,0.0002259832178938455
High,High + Very High,gradient_boosted_trees,avg_temperature_f,Climate and hazard,Temperature,subgroup_permutation_mae,0.00017144883597836668,0.00017144883597836668
High,High + Very High,gradient_boosted_trees,age_65_plus_pct,Demographic,Age >= 65 Years,subgroup_permutation_mae,0.0001448324629945441,0.0001448324629945441
Very High,High + Very High,gradient_boosted_trees,homes_sold_yoy,Housing market,Homes Sold Yoy,subgroup_permutation_mae,0.003066663725405864,0.003066663725405864
Very High,High + Very High,gradient_boosted_trees,net_migration_rate_pct,Demographic,Net Migration Rate,subgroup_permutation_mae,0.002822253520139912,0.002822253520139912
Very High,High + Very High,gradient_boosted_trees,inventory_yoy,Housing market,Inventory Yoy,subgroup_permutation_mae,0.001591900985958203,0.001591900985958203
Very High,High + Very High,gradient_boosted_trees,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,subgroup_permutation_mae,0.001248475671316454,0.001248475671316454
Very High,High + Very High,gradient_boosted_trees,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,subgroup_permutation_mae,0.0012312141951973652,0.0012312141951973652
Very High,High + Very High,gradient_boosted_trees,disability_pct,Demographic,Disability Status,subgroup_permutation_mae,0.0011253531433376529,0.0011253531433376529
Very High,High + Very High,gradient_boosted_trees,utilities_pct_income,Economic and affordability,Utilities Share of Income,subgroup_permutation_mae,0.0010616995849263608,0.0010616995849263608
Very High,High + Very High,gradient_boosted_trees,new_listings_yoy,Housing market,New Listings Yoy,subgroup_permutation_mae,0.0010520381888199596,0.0010520381888199596
Very High,High + Very High,gradient_boosted_trees,communication_barrier_pct,Demographic,Communication Barrier,subgroup_permutation_mae,0.000716182072810201,0.000716182072810201
Very High,High + Very High,gradient_boosted_trees,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,subgroup_permutation_mae,0.0007073384122543972,0.0007073384122543972
Very High,High + Very High,gradient_boosted_trees,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,subgroup_permutation_mae,0.0006417786052466841,0.0006417786052466841
Very High,High + Very High,gradient_boosted_trees,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,subgroup_permutation_mae,0.0006047273055734144,0.0006047273055734144
Very High,High + Very High,gradient_boosted_trees,median_dom_yoy,Housing market,Median Dom Yoy,subgroup_permutation_mae,0.0005576805983139938,0.0005576805983139938
Very High,High + Very High,gradient_boosted_trees,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,subgroup_permutation_mae,0.0005186277036461262,0.0005186277036461262
Very High,High + Very High,gradient_boosted_trees,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",subgroup_permutation_mae,0.0004954274353616358,0.0004954274353616358
Very High,High + Very High,gradient_boosted_trees,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,subgroup_permutation_mae,0.00048511759993645254,0.00048511759993645254
Very High,High + Very High,gradient_boosted_trees,total_population,Demographic,Total Population,subgroup_permutation_mae,0.0004444308428269364,0.0004444308428269364
Very High,High + Very High,gradient_boosted_trees,age_65_plus_pct,Demographic,Age >= 65 Years,subgroup_permutation_mae,0.0003398968567564308,0.0003398968567564308
Very High,High + Very High,gradient_boosted_trees,unemployment_rate_pct,Economic and affordability,Unemployment,subgroup_permutation_mae,0.00022081279019647667,0.00022081279019647667
Very High,High + Very High,gradient_boosted_trees,extreme_event_count,Climate and hazard,Combined Extreme Event Count,subgroup_permutation_mae,0.00018812158446652343,0.00018812158446652343
Very High,High + Very High,gradient_boosted_trees,no_broadband_pct,Demographic,No Internet Access,subgroup_permutation_mae,0.0001320867715539498,0.0001320867715539498
Very High,High + Very High,gradient_boosted_trees,precipitation_inches,Climate and hazard,Precipitation,subgroup_permutation_mae,2.3130272364864715e-05,2.3130272364864715e-05
Very High,High + Very High,gradient_boosted_trees,avg_temperature_f,Climate and hazard,Temperature,subgroup_permutation_mae,-5.3072182792202005e-05,0.0
