risk_group,model,repeat,fold,county_count,train_count,test_count,inner_splits,best_parameters,mae,rmse,r2,spearman
Low,gradient_boosted_trees,2,2,1123,898,225,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",0.018278921756919933,0.02800959828780891,0.15362102552006252,0.44269595448799
Low,median_baseline,2,3,1123,898,225,0,{},0.021598806773033337,0.0282903505304428,-0.0002048712145243936,
Low,elastic_net,2,3,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.018429757338110433,0.025034583668133718,0.2167632532740016,0.4998177412557944
Low,gradient_boosted_trees,2,3,1123,898,225,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.017101435416075075,0.024483851323174842,0.2508448397242453,0.5891276864728193
Low,median_baseline,2,4,1123,899,224,0,{},0.019946745411629465,0.02822545010185866,-0.029652478513931158,
Low,elastic_net,2,4,1123,899,224,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.9}",0.0169118018371335,0.024254064176949714,0.23971230502920848,0.5563324791800128
Low,gradient_boosted_trees,2,4,1123,899,224,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 75, ""model__subsample"": 0.7}",0.01670025055708354,0.023990574275583574,0.25614171427972543,0.5589504591074098
Low,median_baseline,2,5,1123,899,224,0,{},0.01867079603552232,0.02464819046156896,-0.0027343843323754946,
Low,elastic_net,2,5,1123,899,224,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.016095645996184786,0.023034500874246324,0.12426352798402396,0.42481208626948547
Low,gradient_boosted_trees,2,5,1123,899,224,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200, ""model__subsample"": 0.9}",0.01512744518977639,0.02184922447502719,0.21206956130922716,0.5234251548152894
Low,median_baseline,3,1,1123,898,225,0,{},0.020605062922144445,0.030208073177982183,-0.00811750432107572,
Low,elastic_net,3,1,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.018103653826469886,0.02812765778330505,0.1259581141967845,0.44623261694058164
Low,gradient_boosted_trees,3,1,1123,898,225,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""model__subsample"": 0.7}",0.017097437615912973,0.027693606688195295,0.1527254799056832,0.50271597134429
Low,median_baseline,3,2,1123,898,225,0,{},0.0168698655222,0.021988595774786082,-0.00517421245794103,
Low,elastic_net,3,2,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.015000166556445657,0.019801791357961108,0.18481663676561522,0.4906194690265488
Low,gradient_boosted_trees,3,2,1123,898,225,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",0.015020829281152854,0.021033637800798637,0.08023870581862613,0.5008839022334599
Low,median_baseline,3,3,1123,898,225,0,{},0.021387991112855557,0.02832037437482558,-0.010639938362250856,
Low,elastic_net,3,3,1123,898,225,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 1.0}",0.01817080914683573,0.0239708156979008,0.27595742870297313,0.484778761061947
Low,gradient_boosted_trees,3,3,1123,898,225,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",0.018354314135309444,0.024351596131945957,0.25277164909836136,0.478590391908976
Low,median_baseline,3,4,1123,899,224,0,{},0.020732387829035717,0.028711678656009838,-0.0011146488450248793,
Low,elastic_net,3,4,1123,899,224,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.01838384186265462,0.027574279467086116,0.07663163227139247,0.403732650010677
Low,gradient_boosted_trees,3,4,1123,899,224,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 75, ""model__subsample"": 0.9}",0.01810631271784324,0.02683955756442655,0.12518272234449845,0.5030728165705745
Low,median_baseline,3,5,1123,899,224,0,{},0.020791057767071432,0.028964253885635612,-0.02154463381201377,
Low,elastic_net,3,5,1123,899,224,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 1.0}",0.017793226850285043,0.02540941552229858,0.2138199731687832,0.49786888746530006
Low,gradient_boosted_trees,3,5,1123,899,224,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200, ""model__subsample"": 0.9}",0.01683453540088422,0.023302940032528363,0.3387676531885917,0.5224396754217383
Medium,median_baseline,1,1,404,323,81,0,{},0.015778580429444446,0.0188420835599681,-0.005668158114686905,
Medium,elastic_net,1,1,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.5}",0.013868471033248885,0.017253797037065487,0.15673083818508027,0.4179313459801265
Medium,gradient_boosted_trees,1,1,404,323,81,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 125, ""model__subsample"": 0.7}",0.013489207775352596,0.016555394309520844,0.2236171976911775,0.496070460704607
Medium,median_baseline,1,2,404,323,81,0,{},0.013532368767839505,0.017698697675618547,-0.011435971471348116,
Medium,elastic_net,1,2,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.5}",0.012143735911931462,0.015563601559551917,0.21787533585113183,0.49198283649503155
Medium,gradient_boosted_trees,1,2,404,323,81,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200, ""model__subsample"": 0.7}",0.01069191007589373,0.013152612371909924,0.44142715915231123,0.6177958446251129
Medium,median_baseline,1,3,404,323,81,0,{},0.014254950247345678,0.01952045050964037,-0.010152314184795452,
Medium,elastic_net,1,3,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.012349967085181733,0.017407140687715757,0.1967290355796889,0.5452574525745257
Medium,gradient_boosted_trees,1,3,404,323,81,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200, ""model__subsample"": 0.7}",0.011717997476590681,0.0164790172715263,0.2801039211810009,0.5871951219512195
Medium,median_baseline,1,4,404,323,81,0,{},0.014291514362037036,0.017550665402355344,-1.4338912456501873e-05,
Medium,elastic_net,1,4,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.013195875454799059,0.016242019077380435,0.1435557724585711,0.4308039747064137
Medium,gradient_boosted_trees,1,4,404,323,81,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200, ""model__subsample"": 0.7}",0.013188874001410127,0.01618869868581362,0.14916972768664383,0.5060749774164408
Medium,median_baseline,1,5,404,324,80,0,{},0.0142006960770375,0.01959252007694647,-2.805769343972031e-06,
Medium,elastic_net,1,5,404,324,80,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.013276434105959009,0.018378000522147254,0.12013278293617624,0.4083450539146741
Medium,gradient_boosted_trees,1,5,404,324,80,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 75, ""model__subsample"": 0.9}",0.012542585401364681,0.017372725067682084,0.21375750830862084,0.4539615564932021
Medium,median_baseline,2,1,404,323,81,0,{},0.01411185365080247,0.017132839343684873,-0.0013252048230969482,
Medium,elastic_net,2,1,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.013342813759817532,0.01762964059436722,-0.06023803610131795,0.35580397470641373
Medium,gradient_boosted_trees,2,1,404,323,81,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 300, ""model__subsample"": 0.9}",0.012167952714499365,0.015608642433507744,0.1689125450725132,0.45167118337850043
Medium,median_baseline,2,2,404,323,81,0,{},0.014153617522876543,0.01877195014160785,-0.011766296476704685,
Medium,elastic_net,2,2,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.013120937621645472,0.017605053696128338,0.11011039804403666,0.42145438121047873
Medium,gradient_boosted_trees,2,2,404,323,81,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",0.011361502417332036,0.014700152414945848,0.37955241357670133,0.5975609756097561
Medium,median_baseline,2,3,404,323,81,0,{},0.015525977015864199,0.022154330741424186,-0.026289379941929703,
Medium,elastic_net,2,3,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.5}",0.014166462576069898,0.020341666532565018,0.13478184074266153,0.4760162601626016
Medium,gradient_boosted_trees,2,3,404,323,81,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",0.01287883159369172,0.018279652026963123,0.3013037485063639,0.6180442637759711
Medium,median_baseline,2,4,404,323,81,0,{},0.01403487816617284,0.01732101575070944,-0.005572054886721078,
Medium,elastic_net,2,4,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.011974512427634617,0.014991100158007541,0.2467597931185087,0.48222673893405604
Medium,gradient_boosted_trees,2,4,404,323,81,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 125, ""model__subsample"": 0.9}",0.010838191891231454,0.013664677779964742,0.37415718167140555,0.6145663956639567
Medium,median_baseline,2,5,404,324,80,0,{},0.0142976450978125,0.017524282767567033,-0.0034750012526043594,
Medium,elastic_net,2,5,404,324,80,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.01299369051694956,0.015957939846482572,0.16789199385831854,0.4280121894045945
Medium,gradient_boosted_trees,2,5,404,324,80,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 125, ""model__subsample"": 1.0}",0.012512345709276118,0.015637500232470895,0.200974367473977,0.4710032817627755
Medium,median_baseline,3,1,404,323,81,0,{},0.01277209096919753,0.016599747076812964,-0.0058087362536431986,
Medium,elastic_net,3,1,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.0128463552125321,0.015966490467879776,0.06946782627090697,0.3563911472448058
Medium,gradient_boosted_trees,3,1,404,323,81,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200, ""model__subsample"": 1.0}",0.012324643086453433,0.016387139277002548,0.01979085193577379,0.40361336946702797
Medium,median_baseline,3,2,404,323,81,0,{},0.015277996367160497,0.019557788405898655,-0.06152642263448649,
Medium,elastic_net,3,2,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.5}",0.013928339819031669,0.018333515484953652,0.06721227642484617,0.4095980126467931
Medium,gradient_boosted_trees,3,2,404,323,81,3,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",0.013219720368260243,0.017401024064121154,0.15968728017865907,0.3676151761517615
Medium,median_baseline,3,3,404,323,81,0,{},0.01575979600812346,0.021342573043170318,-0.009719887574864527,
Medium,elastic_net,3,3,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 1.0}",0.014779721595960553,0.020694071031593996,0.0507092954073477,0.39049232158988256
Medium,gradient_boosted_trees,3,3,404,323,81,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 1, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.014725739396075388,0.01998036878617512,0.11505891752334929,0.4291110297280568
Medium,median_baseline,3,4,404,323,81,0,{},0.013966546316111113,0.017952973771144517,-2.3241371129190114e-05,
Medium,elastic_net,3,4,404,323,81,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.5}",0.011775559055569687,0.01594921851452515,0.21074722580615968,0.4999096657633242
Medium,gradient_boosted_trees,3,4,404,323,81,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 2, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300, ""model__subsample"": 0.7}",0.011276088371805286,0.014199930819039856,0.37438124772359793,0.5943541102077687
